DATA,CORINTHIANS,PLACARCOR,PLACARADV,ADVERSÁRIO
21-06-61,CORINTHIANS,2,0,LONDRINA (FR)
02-07-61,CORINTHIANS,1,2,GUARANI
09-07-61,CORINTHIANS,0,3,ESPORTIVA DE GUARATINGUETÁ
16-07-61,CORINTHIANS,2,2,BOTAFOGO (RIBEIRÃO PRETO)
19-07-61,CORINTHIANS,0,1,SÃO PAULO
23-07-61,CORINTHIANS,1,2,JABAQUARA (EX-HESPANHA)
30-07-61,CORINTHIANS,2,1,XV DE PIRACICABA
06-08-61,CORINTHIANS,1,2,FERROVIÁRIA (ARARAQUARA)
12-08-61,CORINTHIANS,1,1,JUVENTUS
16-08-61,CORINTHIANS,1,5,SANTOS
19-08-61,CORINTHIANS,1,0,TAUBATÉ
26-08-61,CORINTHIANS,2,3,COMERCIAL (RIBEIRÃO PRETO)
10-09-61,CORINTHIANS,2,1,NOROESTE
13-09-61,CORINTHIANS,1,1,PALMEIRAS
20-09-61,CORINTHIANS,3,2,PORTUGUESA SANTISTA
23-09-61,CORINTHIANS,3,1,PORTUGUESA
01-10-61,CORINTHIANS,2,1,JABAQUARA (EX-HESPANHA)
07-10-61,CORINTHIANS,1,0,PORTUGUESA SANTISTA
11-10-61,CORINTHIANS,6,0,ESPORTIVA DE GUARATINGUETÁ
15-10-61,CORINTHIANS,2,2,TAUBATÉ
22-10-61,CORINTHIANS,1,0,JUVENTUS
26-10-61,CORINTHIANS,1,1,PALMEIRAS
29-10-61,CORINTHIANS,1,2,FERROVIÁRIA (ARARAQUARA)
05-11-61,CORINTHIANS,2,2,XV DE PIRACICABA
08-11-61,CORINTHIANS,0,0,SÃO PAULO
15-11-61,CORINTHIANS,0,7,PORTUGUESA
25-11-61,CORINTHIANS,2,2,BOTAFOGO (RIBEIRÃO PRETO)
03-12-61,CORINTHIANS,1,1,SANTOS
06-12-61,CORINTHIANS,2,1,COMERCIAL (RIBEIRÃO PRETO)
10-12-61,CORINTHIANS,3,2,GUARANI
17-12-61,CORINTHIANS,4,0,NOROESTE
20-01-62,CORINTHIANS,2,1,NACIONAL
25-01-62,CORINTHIANS,2,1,SÃO PAULO
28-01-62,CORINTHIANS,1,1,CORINTHIANS (PRUDENTE)
31-01-62,CORINTHIANS,4,1,ATLÉTICO MINEIRO
06-02-62,CORINTHIANS,4,2,AMÉRICA
11-02-62,CORINTHIANS,4,2,SÃO PAULO
18-02-62,CORINTHIANS,3,2,PORTUGUESA
22-02-62,CORINTHIANS,0,3,PALMEIRAS
27-02-62,CORINTHIANS,1,1,SÃO PAULO
